time_s,head_px,head_py,head_pz,head_qx,head_qy,head_qz,head_qw,gaze_px,gaze_py,gaze_pz,gaze_dx,gaze_dy,gaze_dz
10.881878,-0.000856,-0.000890,0.002368,0.022001,0.004977,0.001897,0.999744,0.000195,0.003865,0.006246,0.232449,-0.212382,0.949137
10.898602,-0.000816,-0.000983,0.002360,0.021837,0.004350,0.001957,0.999750,0.000253,0.003825,0.006250,0.231160,-0.206635,0.950719
10.915528,-0.000864,-0.000976,0.002360,0.021819,0.003716,0.001742,0.999754,0.000289,0.003840,0.006225,0.231853,-0.203435,0.951241
10.948486,-0.001010,-0.000953,0.002513,0.022052,0.002269,0.000784,0.999754,0.000287,0.003851,0.006251,0.230814,-0.200893,0.952033
10.965457,-0.001078,-0.001023,0.002427,0.022025,0.001866,0.000397,0.999756,0.000175,0.003785,0.006252,0.231372,-0.193045,0.953520
10.982161,-0.001016,-0.001076,0.002474,0.021981,0.001851,0.000117,0.999757,0.000006,0.003791,0.006200,0.232279,-0.185671,0.954763
11.015118,-0.001067,-0.001241,0.002382,0.022010,0.002790,0.000360,0.999754,-0.000057,0.003685,0.006178,0.242204,-0.143248,0.959592
11.032093,-0.001182,-0.001260,0.002307,0.022105,0.003430,0.000707,0.999750,-0.000037,0.003633,0.006128,0.246512,-0.096306,0.964343
11.048943,-0.001165,-0.001085,0.002345,0.022094,0.003986,0.001163,0.999747,-0.000047,0.003551,0.006123,0.245306,-0.088190,0.965426
11.082261,-0.001261,-0.000988,0.002509,0.021601,0.004582,0.002236,0.999754,0.000003,0.003389,0.006207,0.247443,-0.069579,0.966401
11.115721,-0.001318,-0.001024,0.002595,0.020964,0.003897,0.002907,0.999768,0.000013,0.003352,0.006263,0.248199,-0.049868,0.967425
11.132439,-0.001391,-0.001024,0.002411,0.020785,0.003447,0.002503,0.999775,0.000083,0.003214,0.006335,0.242729,-0.029910,0.969633
11.165795,-0.001288,-0.000886,0.002526,0.020614,0.002724,0.001147,0.999783,0.000003,0.003039,0.006298,0.247352,-0.003828,0.968918
11.199237,-0.001144,-0.000815,0.002540,0.020336,0.002893,0.000018,0.999789,0.000031,0.003151,0.006417,0.251615,0.018479,0.967651
11.232165,-0.001078,-0.001128,0.002293,0.019840,0.004214,0.000070,0.999794,0.000076,0.003151,0.006443,0.252236,0.047866,0.966481
11.249032,-0.000981,-0.001117,0.002252,0.019821,0.005026,0.000426,0.999791,0.000088,0.003046,0.006354,0.252304,0.056515,0.965996
11.266035,-0.000926,-0.000900,0.002303,0.019588,0.005854,0.000721,0.999791,0.000187,0.002954,0.006383,0.251405,0.069043,0.965416
11.299097,-0.000836,-0.000746,0.002272,0.018434,0.006770,0.001261,0.999806,0.000332,0.002969,0.006406,0.254454,0.088286,0.963047
11.315813,-0.000863,-0.000595,0.002238,0.017728,0.006723,0.001575,0.999819,-0.000679,0.002003,0.006590,0.256823,0.130587,0.957595
11.332567,-0.000805,-0.000531,0.002124,0.017007,0.006456,0.001547,0.999833,-0.000949,0.002450,0.006425,0.271363,0.126909,0.954074
11.365899,-0.000818,-0.000324,0.001898,0.016015,0.005963,0.000626,0.999854,-0.000817,0.002562,0.006319,0.280249,0.098118,0.954900
11.382568,-0.000839,-0.000252,0.001795,0.015756,0.005767,-0.000036,0.999859,-0.000821,0.002656,0.006253,0.280998,0.109486,0.953443
11.399521,-0.000807,-0.000060,0.001662,0.015424,0.005613,-0.000341,0.999865,-0.000809,0.002747,0.006185,0.280479,0.113550,0.953120
11.432706,-0.000766,0.000109,0.001427,0.014049,0.006214,-0.000638,0.999882,-0.000893,0.002947,0.005880,0.282983,0.136883,0.949307
11.466375,-0.000753,0.000175,0.001096,0.012571,0.007519,0.000075,0.999893,-0.000852,0.003138,0.005639,0.280287,0.151739,0.947847
11.483054,-0.000742,0.000505,0.001029,0.012005,0.008154,0.000611,0.999895,-0.000849,0.003196,0.005483,0.278480,0.159048,0.947182
11.516238,-0.000813,0.000732,0.001051,0.010357,0.008845,0.001545,0.999906,-0.000778,0.003221,0.005442,0.279186,0.162737,0.946347
11.532957,-0.000878,0.000954,0.000891,0.009553,0.008794,0.001928,0.999914,-0.000814,0.003431,0.005250,0.278467,0.182334,0.942980
11.549966,-0.000900,0.000928,0.000837,0.008696,0.008538,0.001964,0.999924,-0.000803,0.003558,0.005084,0.276472,0.188265,0.942401
11.566718,-0.000924,0.001011,0.000744,0.008249,0.008198,0.001556,0.999931,-0.000781,0.003667,0.005024,0.275212,0.196044,0.941183
14.087576,-0.001362,0.001420,0.001902,0.008115,0.008855,0.002517,0.999925,-0.002278,0.002075,0.007906,-0.166579,0.129635,0.977469
14.321649,-0.001970,0.001046,0.002021,0.007908,0.007282,0.003430,0.999936,-0.001357,0.004254,0.006037,0.187303,0.110124,0.976110
14.338567,-0.002030,0.001057,0.001913,0.008227,0.006505,0.003446,0.999939,-0.001395,0.004215,0.006081,0.182798,0.107567,0.977248
14.371367,-0.002063,0.000872,0.001889,0.009026,0.005078,0.002518,0.999943,-0.001558,0.004223,0.005975,0.103793,0.055219,0.993065
14.388429,-0.002037,0.000916,0.001995,0.009546,0.004765,0.001884,0.999941,-0.000760,0.005190,0.005486,0.028940,0.024158,0.999289
14.421926,-0.002095,0.000913,0.002051,0.010363,0.004739,0.001207,0.999934,-0.001099,0.005338,0.005232,0.002441,0.017690,0.999841
14.455114,-0.002222,0.000512,0.002097,0.010891,0.005029,0.001264,0.999927,-0.001227,0.005230,0.005288,-0.011243,0.002517,0.999934
